subplot_id,year,mean.height.mean,height.2,mean.height.median,mean.height.var,mean.height.rms,transect.length,can.max.ht,moch,can.max.ht.median,vai.mean,vai.sd,vai.median,vai.column.max,vai.max.ht.mean,vai.max.ht.sd,vai.max.ht.median,vai.max,vai.mean.peak,vai.peak.sd,vai.peak.median,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,median.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl,fhd,gini,mean.intensity,median.intensity,sd.intensity,max.intensity,min.intensity,skew.intensity,kurtosis.intensity,p10,p25,p50,p75,p90,
D03E,2019,11.64506647,4.151307441,10.91456427,17.23335347,12.34544826,40,21.81,15.95545,16.1775,4.769451633,2.822760097,3.799026203,8,11.1,5.541452184,10.5,6.673975636,2.425759018,1.801057342,2.009131896,0,0,0.693478261,254.3483643,11.17868597,11.37476788,4.665414385,10.31621735,5.775001702,8.486,24.25359481,75.74640519,22.616,1844.8,3.4,0.916973876,17.37090433,2.774670216,1.65309004,70.99593936,74,29.8989203,5549,2.055,110.3074546,20175.46865,3.871,5.514,8.486,16.0185,19.416,
D03W,2019,9.558161797,3.437427368,9.487044621,11.81590691,10.1429269,40,18.747,12.791425,14.3325,6.207297262,2.607960198,8,8,10.15,4.870370912,10,7.200366179,3.182655462,1.62736353,2.923212839,1,0.025,0.675,225.474329,10.78960185,10.44312314,4.817354737,6.685902518,4.034725539,6.344,12.91203835,87.08796165,18.747,1940.175,5.05,0.93979146,16.24219125,2.748570059,1.397840671,70.85225137,73,33.22179622,7732,6,181.3997125,41847.84712,2.277,2.902,6.344,9.0275,13.302,
D03W,2019,10.08919441,4.3576362,11.15007028,18.98899325,10.9684143,40,19.385,13.7641,17.004,5.289024167,2.919871875,6.589939355,8,9.675,5.721697345,9,8,2.601039088,1.934681557,2.309237954,0,0,0.7025,311.8072885,12.20036974,12.76551083,5.727574274,6.983620825,5.101153072,6.464,18.56971511,81.43028489,19.385,2105.3,4.425,0.959794256,17.17525773,2.751156318,1.39493452,70.25768204,72,16.1625748,657,6,-0.05165509,29.29345971,1.803,2.231,6.464,10.655,15.686,
D04E,2018,6.20916542,2.900325027,6.126396184,8.411885265,6.837786436,40,14.002,8.11335,8.2705,5.34669808,3.313253889,7.894973559,8,6.325,3.751153669,6,6.846709462,2.629464216,1.971859884,2.471608284,2,0.05,0.676666667,38.774748,3.910603881,4.845815234,3.55016346,4.323871578,2.834290744,3.07,26.1113858,73.8886142,14.002,556.3,4.025,0.881124889,10.79632817,2.368727114,1.517124435,75.43825283,76,16.08514265,127,8,-0.366128438,3.536887153,1.8514,2.222,3.07,6.227,8.4426,
D04E,2018,7.824481373,3.819534794,7.966096523,14.58884605,8.686002168,40,16.226,10.285725,11.7035,5.394493837,2.915716895,6.371707784,8,7.4,4.413266713,7,6.468871921,2.686515341,1.696436862,2.519501383,2,0.05,0.683823529,34.68255584,4.00032357,4.32203276,4.323085312,6.50052285,3.722411692,6.017,21.18971521,78.81028479,16.226,524.2,3.95,0.945388448,13.96103896,2.659648763,1.52653881,82.77991647,85,16.39984235,133,12,-0.743978083,3.934591065,1.933,2.921,6.016,9.808,11.561,
D04W,2018,5.806123096,2.93993102,5.297343966,8.643194403,6.491392758,40,15.429,7.893975,8.771,4.45928523,3.332834958,4.24258623,8,5.275,3.170274598,5,6.462991387,2.687795927,2.065402256,2.936011271,3,0.075,0.7375,17.97876063,2.4749819,3.442851323,4.035744677,4.677545565,2.698586536,3.812,36.34543895,63.65456105,15.429,612.1,4.3,0.910383371,11.07692308,2.202257262,1.539239625,71.93678604,72,16.00993036,125,8,-0.540110889,4.002371436,1.874,2.666,3.81,6.3495,9.427,
D04W,2018,5.40017383,3.028495281,4.84649461,9.171783665,6.172873437,40,16.123,7.5206,6.662,5.307890833,3.072116151,7.19526568,8,5,3.358876491,4,7.80203454,2.8410174,2.090011455,2.553310529,3,0.075,0.714705882,30.2714767,3.254827065,4.435941555,4.400536662,4.323397999,2.995102097,3.079,21.80559302,78.19440698,16.123,556.175,3.45,0.839118232,10.89635206,2.284692049,1.454702661,73.30594526,74,14.24912258,122,6,-0.503575349,4.698394036,1.734,2.423,3.079,4.77,8.966,
D02E,2018,7.824747101,3.432970827,8.337372088,11.7852887,8.52744532,40,20.291,10.96185,11.6315,6.860420049,2.104894725,8,8,8.075,4.811244841,7,8,3.533901235,1.633054641,3.459489141,0,0,0.714285714,179.5519742,9.051254821,9.880625504,4.796144951,5.068074382,3.535505695,3.882,7.201594817,92.79840518,20.291,501.75,4.2,0.883768949,14.15233415,2.718811836,1.62016308,77.51267454,78,19.32670043,141,7,-0.275888555,2.66327194,1.67,2.124,3.881,6.996,10.3876,
D02E,2018,9.556168272,4.960706647,9.04837038,24.60861044,10.73842387,40,21.481,14.73755,18.597,6.563071464,2.193106926,8,8,8.7,6.219077349,7.5,6.607530485,2.804231315,1.237290714,2.7624586,0,0,0.654545455,389.7120433,14.73423476,13.13827878,6.05640849,6.594009934,5.111795151,5.128,6.794917957,93.20508204,21.481,486.15,4.425,0.964488813,19.67134951,2.916922997,1.78751167,78.15888521,80,19.76551595,133,5,-0.353571441,2.927205872,1.413,1.874,5.124,9.467,14.8152,
D02W,2018,9.832536897,4.274579208,10.19706601,18.2720274,10.70018731,40,20.065,14.363625,16.687,7.260318158,1.258945029,8,8,10,6.332658534,10,6.566535044,3.242292675,1.336032445,2.954410939,0,0,0.654761905,386.4234226,15.57058832,11.99917506,5.361661681,6.57354795,4.697552382,4.755,1.563798836,98.43620116,20.065,481.325,3.95,0.9599739,18.47539543,2.860089218,1.326914287,79.05942893,80,20.62701942,136,3,-0.4543291,2.902691617,1.907,2.619,4.7535,9.908,14.4519,
