,layer_1,calculation,value,v1
208,Layer 1, SIPI,0.8264257,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
209,Layer 1, FRI,-0.6704295,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
210,Layer 1, CNDVI,0.4843236,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
211,Layer 1, Ctr1,1.466248,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
212,Layer 1, Ctr2,0.151789,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
213,Layer 1, G,2.449864,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
214,Layer 1, GM1,4.303023,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
215,Layer 1, GM2,4.166419,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
216,Layer 1, Lic1,0.8305748,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
217,Layer 1, Lic2,0.8840299,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
218,Layer 1, NDVI,0.8305748,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
219,Layer 1, NPCI,-0.02927981,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
220,Layer 1, NPQI,0.04575366,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
221,Layer 1, SRPI,1.060326,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
222,Layer 1, TCARI,34.74366,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
223,Layer 1, TVI,4827.31,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
224,Layer 1, ZMI,2.204835,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
225,Layer 1, MRESRI,5.866502,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
226,Layer 1, RENDVI,0.4843236,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
227,Layer 1, VREI1,1.429899,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
228,Layer 1, VREI2,-0.07513224,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
229,Layer 1, VREI3,-0.08197608,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
230,Layer 1, PRI,0.04785529,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
231,Layer 1, PSRI,-0.001204057,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
232,Layer 1, WBI,0.9979858,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
233,Layer 1, ARI1,0.001705816,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
234,Layer 1, ARI2,0.1362886,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
235,Layer 1, CRI1,0.05598008,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
236,Layer 1, CRI2,0.05768589,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
237,Layer 1, SIPI,0.8318054,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
238,Layer 1, FRI,0.9365466,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
239,Layer 1, CNDVI,0.4800486,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
240,Layer 1, Ctr1,1.730018,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
241,Layer 1, Ctr2,0.1558814,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
242,Layer 1, G,2.717078,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
243,Layer 1, GM1,4.192913,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
244,Layer 1, GM2,4.061163,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
245,Layer 1, Lic1,0.8415844,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
246,Layer 1, Lic2,0.869716,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
247,Layer 1, NDVI,0.8415844,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
248,Layer 1, NPCI,-0.03649584,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
249,Layer 1, NPQI,-0.003271864,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
250,Layer 1, SRPI,1.075756,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
251,Layer 1, TCARI,35.70562,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
252,Layer 1, TVI,4692.845,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
253,Layer 1, ZMI,2.197692,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
254,Layer 1, MRESRI,6.06824,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
255,Layer 1, RENDVI,0.4800486,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
256,Layer 1, VREI1,1.432217,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
257,Layer 1, VREI2,-0.07763547,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
258,Layer 1, VREI3,-0.08462993,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
259,Layer 1, PRI,0.04517362,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
260,Layer 1, PSRI,-0.01102699,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
261,Layer 1, WBI,1.006081,DO1E_ACRU_CAN09_07222018_636678852075552481_Calculations.csv
262,Layer 1, ARI1,0.001867957,DO1E_POGR_CAN01_07222018_636678705937919153_Calculations.csv
263,Layer 1, ARI2,0.1412146,DO1E_POGR_CAN01_07222018_636678705937919153_Calculations.csv
264,Layer 1, CRI1,0.1303494,DO1E_POGR_CAN01_07222018_636678705937919153_Calculations.csv
265,Layer 1, CRI2,0.1322173,DO1E_POGR_CAN01_07222018_636678705937919153_Calculations.csv
