species,tag,site,dbh_cm,health_status,canopy_status,date,notes,subplot_id,group,plot_id,latitude,longitude,component,a,b,se,source,ref,leaf_mass,genus,sla,leaf_area,fate,plot_side
POGR,2759,UMBS,44.7,D,UN,7/12/2018,,A04E,A,A04,45.5637615,-84.7261264,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",15.33957684,Populus,15.89,243.745876,live,E
POGR,2756,UMBS,44.9,D,OD,7/12/2018,,A04E,A,A04,45.5637758,-84.7261833,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",15.4961635,Populus,15.89,246.234038,live,E
POGR,2740,UMBS,46,D,OD,7/12/2018,,A04E,A,A04,45.5636944,-84.7261772,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",16.37336077,Populus,15.89,260.1727027,live,E
POGR,2766,UMBS,46.5,D,OS,7/12/2018,2766 - 2767 share base,A04E,A,A04,45.5637881,-84.7261408,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",16.78105389,Populus,15.89,266.6509463,live,E
POGR,2755,UMBS,47.2,D,UN,7/12/2018,,A04E,A,A04,45.5637909,-84.7261962,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",17.36128279,Populus,15.89,275.8707835,live,E
POGR,2714,UMBS,48.1,L,OD,7/12/2018,,A04E,A,A04,45.5636603,-84.7259058,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",18.12357264,Populus,15.89,287.9835693,live,E
POGR,2737,UMBS,48.1,L,OD,7/12/2018,,A04E,A,A04,45.5636456,-84.7261826,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",18.12357264,Populus,15.89,287.9835693,live,E
POGR,2768,UMBS,49,D,OD,7/12/2018,,A04E,A,A04,45.563738,-84.7260854,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",18.90426716,Populus,15.89,300.3888052,live,E
POGR,2680,UMBS,49.6,D,OD,7/12/2018,,A04E,A,A04,45.5637637,-84.7260664,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",19.43500149,Populus,15.89,308.8221736,live,E
POGR,2732,UMBS,50.2,L,OD,7/12/2018,,A04E,A,A04,45.5636659,-84.7261151,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",19.97398506,Populus,15.89,317.3866226,live,E
POGR,2725,UMBS,50.3,L,OD,7/12/2018,,A04E,A,A04,45.5637094,-84.7260874,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",20.06461959,Populus,15.89,318.8268052,live,E
POGR,2764,UMBS,52,D,OS,7/12/2018,Taken slightly above DBH,A04E,A,A04,45.5638253,-84.726205,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",21.64070331,Populus,15.89,343.8707756,live,E
POGR,2754,UMBS,54.8,D,UN,7/12/2018,,A04E,A,A04,45.5637924,-84.7262495,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",24.38313452,Populus,15.89,387.4480076,live,E
POGR,2660,UMBS,56,L,OD,7/12/2018,,A04W,A,A04,45.5637229,-84.726832,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",25.61483281,Populus,15.89,407.0196934,live,W
POGR,2618,UMBS,54.8,L,OD,7/12/2018,,A04W,A,A04,45.5635837,-84.7265548,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",24.38313452,Populus,15.89,387.4480076,live,W
POGR,2653,UMBS,52.8,L,OD,7/12/2018,,A04W,A,A04,45.5637008,-84.7267502,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",22.40556696,Populus,15.89,356.024459,live,W
POGR,2615,UMBS,51.9,L,OD,7/12/2018,2615 - 2617 in a cluster,A04W,A,A04,45.5636155,-84.7265557,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",21.54614128,Populus,15.89,342.368185,live,W
POGR,2616,UMBS,49.5,L,OD,7/12/2018,2615 - 2617 in a cluster,A04W,A,A04,45.5636043,-84.726558,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",19.34597364,Populus,15.89,307.4075212,live,W
ACSA,2605,UMBS,31.1,L,OD,7/12/2018,,A04W,A,A04,45.563656,-84.7264652,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",12.54384224,Acer,19,238.3330026,live,W
ACRU,2671,UMBS,43.7,L,OD,7/12/2018,,A04W,A,A04,45.5637927,-84.7267603,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",12.53286163,Acer,19,238.1243709,live,W
POGR,2577,UMBS,40.6,L,OD,7/12/2018,,A04W,A,A04,45.563766,-84.7265197,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",12.32424975,Populus,15.89,195.8323285,live,W
ACRU,2579,UMBS,37.8,L,OD,7/12/2018,2579 - 2580 share base,A04W,A,A04,45.5638117,-84.7265916,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",10.02411877,Acer,19,190.4582566,live,W
ACSA,2575,UMBS,26.2,L,OD,7/12/2018,,A04W,A,A04,45.5636876,-84.7266678,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",9.380422784,Acer,19,178.2280329,live,W
ACSA,2588,UMBS,26,L,OD,7/12/2018,2587 - 2588 share base,A04W,A,A04,45.5637382,-84.7265979,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",9.25937235,Acer,19,175.9280747,live,W
POGR,2659,UMBS,38.5,L,OD,7/12/2018,,A04W,A,A04,45.5637287,-84.7268417,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",10.92161653,Populus,15.89,173.5444866,live,W
ACRU,2672,UMBS,35.5,L,OD,7/12/2018,,A04W,A,A04,45.5637869,-84.7267529,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",9.100400288,Acer,19,172.9076055,live,W
ACSA,2646,UMBS,25.5,L,OD,7/12/2018,,A04W,A,A04,45.5636746,-84.7267714,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",8.959573363,Acer,19,170.2318939,live,W
ACSA,2642,UMBS,25.5,L,OD,7/12/2018,,A04W,A,A04,45.5635499,-84.7267962,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",8.959573363,Acer,19,170.2318939,live,W
ACRU,2626,UMBS,34.9,L,OD,7/12/2018,2624 - 2627 share base,A04W,A,A04,45.5635753,-84.726638,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",8.864617263,Acer,19,168.427728,live,W
ACRU,2583,UMBS,34.6,L,OD,7/12/2018,2583 - 2585 share base,A04W,A,A04,45.5637791,-84.7266086,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",8.74754175,Acer,19,166.2032933,live,W
FAGR,2590,UMBS,25.1,L,OS,7/12/2018,,A04W,A,A04,45.5638142,-84.726584,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,4.45906691,Fagus,35,156.0673419,live,W
FAGR,2634,UMBS,25,L,OD,7/12/2018,2633 - 2635 share base,A04W,A,A04,45.5635384,-84.7267425,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,4.430140676,Fagus,35,155.0549237,live,W
ACRU,2625,UMBS,32.5,L,OD,7/12/2018,2624 - 2627 share base,A04W,A,A04,45.5635739,-84.7266303,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",7.943450759,Acer,19,150.9255644,live,W
POGR,2617,UMBS,35.3,D,UN,7/12/2018,2615 - 2617 in a cluster,A04W,A,A04,45.5635904,-84.7265681,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",8.965019095,Populus,15.89,142.4541534,live,W
ACRU,2624,UMBS,31,L,OD,7/12/2018,2624 - 2627 share base,A04W,A,A04,45.5635802,-84.7266316,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",7.385941105,Acer,19,140.332881,live,W
ACSA,2632,UMBS,22.6,L,OD,7/12/2018,,A04W,A,A04,45.5635246,-84.7267177,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",7.301557816,Acer,19,138.7295985,live,W
ACSA,2631,UMBS,22.6,L,OD,7/12/2018,,A04W,A,A04,45.5635238,-84.7266453,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",7.301557816,Acer,19,138.7295985,live,W
ACSA,2662,UMBS,22.4,L,OD,7/12/2018,2661 2667 share base,A04W,A,A04,45.5637108,-84.7267876,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",7.192371561,Acer,19,136.6550597,live,W
ACRU,2580,UMBS,30.3,L,OD,7/12/2018,2579 - 2580 share base,A04W,A,A04,45.5638086,-84.7265865,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",7.130672323,Acer,19,135.4827741,live,W
ACSA,2582,UMBS,22.2,L,OS,7/12/2018,"Taken at DBH, large scarring area on tree",A04W,A,A04,45.5637871,-84.7266227,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",7.083860754,Acer,19,134.5933543,live,W
ACRU,2627,UMBS,30.1,L,OD,7/12/2018,2624 - 2627 share base,A04W,A,A04,45.5635728,-84.7266543,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",7.058318231,Acer,19,134.1080464,live,W
POGR,2638,UMBS,34.1,L,OD,7/12/2018,,A04W,A,A04,45.5636097,-84.7267337,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",8.286668704,Populus,15.89,131.6751657,live,W
ACSA,2610,UMBS,21.9,L,OS,7/12/2018,,A04W,A,A04,45.5636067,-84.726482,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",6.922365061,Acer,19,131.5249362,live,W
ACSA,2639,UMBS,21.5,L,OD,7/12/2018,,A04W,A,A04,45.563594,-84.7267363,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",6.709418991,Acer,19,127.4789608,live,W
ACSA,2586,UMBS,21.4,L,OS,7/12/2018,,A04W,A,A04,45.5636963,-84.7266522,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",6.656609338,Acer,19,126.4755774,live,W
ACSA,2666,UMBS,21.3,L,OS,7/12/2018,,A04W,A,A04,45.5637697,-84.7268105,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",6.603970915,Acer,19,125.4754474,live,W
FAGR,2635,UMBS,21.9,L,OD,7/12/2018,2633 - 2635 share base,A04W,A,A04,45.5635411,-84.7267458,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,3.570112992,Fagus,35,124.9539547,live,W
FAGR,2636,UMBS,21.7,L,OS,7/12/2018,,A04W,A,A04,45.5635893,-84.7267084,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,3.517112217,Fagus,35,123.0989276,live,W
ACSA,2656,UMBS,20.3,L,OS,7/12/2018,2655 - 2656 share base,A04W,A,A04,45.563699,-84.7268662,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",6.087058959,Acer,19,115.6541202,live,W
ACRU,2584,UMBS,27.1,L,OD,7/12/2018,2583 - 2585 share base,A04W,A,A04,45.5637653,-84.726585,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",6.004564852,Acer,19,114.0867322,live,W
ACSA,2637,UMBS,20.1,L,OS,7/12/2018,,A04W,A,A04,45.5636519,-84.72669,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",5.985756439,Acer,19,113.7293723,live,W
ACSA,2595,UMBS,19.3,L,OS,7/12/2018,,A04W,A,A04,45.5636912,-84.726647,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",5.587549233,Acer,19,106.1634354,live,W
ACSA,2599,UMBS,19.2,L,OS,7/12/2018,,A04W,A,A04,45.5637144,-84.726567,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",5.538565635,Acer,19,105.2327471,live,W
ACSA,2644,UMBS,19.2,L,OD,7/12/2018,,A04W,A,A04,45.563639,-84.7267351,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",5.538565635,Acer,19,105.2327471,live,W
POGR,2640,UMBS,30.3,L,OD,7/12/2018,,A04W,A,A04,45.5635848,-84.7267376,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",6.333528717,Populus,15.89,100.6397713,live,W
FAGR,2670,UMBS,19,L,OS,7/12/2018,,A04W,A,A04,45.5636996,-84.7267047,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.832095648,Fagus,35,99.12334769,live,W
ACRU,2622,UMBS,24.7,L,OS,7/12/2018,2622 - 2623 share base,A04W,A,A04,45.5636293,-84.7266635,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",5.205496273,Acer,19,98.90442918,live,W
ACSA,2594,UMBS,18.5,L,OS,7/12/2018,Shares base with smaller tree,A04W,A,A04,45.5637309,-84.7265919,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",5.200652115,Acer,19,98.81239019,live,W
FAGR,2669,UMBS,18.7,L,OS,7/12/2018,,A04W,A,A04,45.5637069,-84.7267113,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.759556511,Fagus,35,96.5844779,live,W
ACSA,2649,UMBS,17.7,L,OS,7/12/2018,2649 - 2650 share base,A04W,A,A04,45.5636344,-84.7268385,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",4.825212126,Acer,19,91.67903039,live,W
ACSA,2663,UMBS,17.7,L,OS,7/12/2018,,A04W,A,A04,45.5636906,-84.7266945,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",4.825212126,Acer,19,91.67903039,live,W
ACRU,2673,UMBS,23.2,L,OD,7/12/2018,,A04W,A,A04,45.5637957,-84.7267647,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",4.72672492,Acer,19,89.80777349,live,W
ACSA,2576,UMBS,17,L,OS,7/12/2018,Shares base with smaller tree,A04W,A,A04,45.5637691,-84.7266923,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",4.506222646,Acer,19,85.61823028,live,W
ACSA,2667,UMBS,16,L,OS,7/12/2018,,A04W,A,A04,45.5637623,-84.7267852,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",4.066165907,Acer,19,77.25715223,live,W
ACSA,2648,UMBS,15.9,L,OS,7/12/2018,,A04W,A,A04,45.5636066,-84.7268122,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",4.023183577,Acer,19,76.44048796,live,W
ACSA,2601,UMBS,15.9,L,OS,7/12/2018,,A04W,A,A04,45.5636918,-84.7265838,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",4.023183577,Acer,19,76.44048796,live,W
ACSA,2612,UMBS,15.8,L,OS,7/12/2018,2611 - 2612 share base,A04W,A,A04,45.5636323,-84.7265258,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.980388717,Acer,19,75.62738562,live,W
FAGR,2633,UMBS,15.8,L,OS,7/12/2018,2633 - 2635 share base,A04W,A,A04,45.5635412,-84.7267474,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.096653048,Fagus,35,73.38285669,live,W
ACRU,2623,UMBS,19.9,L,OS,7/12/2018,2622 - 2623 share base,A04W,A,A04,45.5636303,-84.7266664,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",3.73200803,Acer,19,70.90815256,live,W
ACRU,2585,UMBS,19.9,D,OS,7/12/2018,2583 - 2585 share base,A04W,A,A04,45.5637762,-84.7266202,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",3.73200803,Acer,19,70.90815256,live,W
ACSA,2600,UMBS,15.2,L,OS,7/12/2018,,A04W,A,A04,45.5637021,-84.7266007,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.727576848,Acer,19,70.82396011,live,W
ACSA,2652,UMBS,15.2,L,OS,7/12/2018,2651 - 2652 share base,A04W,A,A04,45.5636621,-84.7268541,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.727576848,Acer,19,70.82396011,live,W
FAGR,2574,UMBS,15.3,L,OS,7/12/2018,,A04W,A,A04,45.5636885,-84.7266762,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.989566046,Fagus,35,69.63481162,live,W
ACSA,2651,UMBS,14.9,L,OS,7/12/2018,2651 - 2652 share base,A04W,A,A04,45.5636611,-84.72686,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.603731692,Acer,19,68.47090214,live,W
ACSA,2655,UMBS,14.5,L,OS,7/12/2018,2655 - 2656 share base,A04W,A,A04,45.5636975,-84.7268599,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.441283783,Acer,19,65.38439187,live,W
ACSA,2614,UMBS,14.3,L,OS,7/12/2018,2613 - 2614 share base,A04W,A,A04,45.563639,-84.7266244,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.361215113,Acer,19,63.86308714,live,W
FAGR,2664,UMBS,14.4,L,OS,7/12/2018,,A04W,A,A04,45.5637431,-84.7268311,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.802329918,Fagus,35,63.08154713,live,W
ACSA,2630,UMBS,14.1,L,OS,7/12/2018,Shares base with smaller tree,A04W,A,A04,45.5635552,-84.726658,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.281920979,Acer,19,62.3564986,live,W
ACSA,2611,UMBS,14,L,OS,7/12/2018,2611 - 2612 share base,A04W,A,A04,45.5636313,-84.7265242,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.242565402,Acer,19,61.60874265,live,W
ACSA,2613,UMBS,13.6,L,OS,7/12/2018,2613 - 2614 share base,A04W,A,A04,45.5636382,-84.7266285,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.087096275,Acer,19,58.65482923,live,W
FAGR,2598,UMBS,13.4,L,OS,7/12/2018,,A04W,A,A04,45.5637247,-84.7264996,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.60278354,Fagus,35,56.09742391,live,W
ACSA,2607,UMBS,13.1,L,OS,7/12/2018,2606 - 2608 share base,A04W,A,A04,45.5636838,-84.7265168,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.897187283,Acer,19,55.04655837,live,W
ACSA,2661,UMBS,12.8,L,OS,7/12/2018,2661 2667 share base,A04W,A,A04,45.5637222,-84.7268018,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.785624815,Acer,19,52.92687149,live,W
FAGR,2596,UMBS,12.4,L,OS,7/12/2018,Shares base with smaller tree,A04W,A,A04,45.5637295,-84.7265657,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.412411661,Fagus,35,49.43440812,live,W
FAGR,2645,UMBS,12.4,D,UN,7/12/2018,,A04W,A,A04,45.563686,-84.7267487,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.412411661,Fagus,35,49.43440812,live,W
FAGR,2592,UMBS,12.3,L,UN,7/12/2018,2591 - 2592 share base,A04W,A,A04,45.5637945,-84.7265201,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.393889107,Fagus,35,48.78611875,live,W
FAGR,2628,UMBS,12.2,D,UN,7/12/2018,,A04W,A,A04,45.5636036,-84.7266722,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.375461228,Fagus,35,48.14114299,live,W
ACSA,2578,UMBS,12,L,OS,7/12/2018,,A04W,A,A04,45.5636543,-84.726474,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.496973516,Acer,19,47.44249681,live,W
FAGR,2619,UMBS,11.9,D,UN,7/12/2018,,A04W,A,A04,45.5635701,-84.7265366,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.320748518,Fagus,35,46.22619815,live,W
ACSA,2665,UMBS,11.8,L,OS,7/12/2018,,A04W,A,A04,45.5637909,-84.7268426,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.426843252,Acer,19,46.11002178,live,W
FAGR,2609,UMBS,11.8,D,OS,7/12/2018,,A04W,A,A04,45.5636589,-84.7265244,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.302702233,Fagus,35,45.59457815,live,W
FAGR,2641,UMBS,11.8,D,UN,7/12/2018,,A04W,A,A04,45.5635569,-84.7267538,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.302702233,Fagus,35,45.59457815,live,W
ACSA,2603,UMBS,11.6,L,OS,7/12/2018,2603 - 2604 share base,A04W,A,A04,45.5636983,-84.7265286,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.357534277,Acer,19,44.79315126,live,W
ACSA,2643,UMBS,11.5,L,OS,7/12/2018,,A04W,A,A04,45.563632,-84.726748,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.323189111,Acer,19,44.14059311,live,W
FAGR,2591,UMBS,11.4,L,OS,7/12/2018,2591 - 2592 share base,A04W,A,A04,45.5637868,-84.7265043,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.231481523,Fagus,35,43.10185331,live,W
ACSA,2587,UMBS,11.3,D,OS,7/12/2018,2587 - 2588 share base,A04W,A,A04,45.5637394,-84.7266017,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.255120151,Acer,19,42.84728288,live,W
ACSA,2629,UMBS,10.7,L,OS,7/12/2018,,A04W,A,A04,45.5635728,-84.7266722,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.055924809,Acer,19,39.06257137,live,W
ACSA,2650,UMBS,10.2,L,UN,7/12/2018,2649 - 2650 share base,A04W,A,A04,45.5636377,-84.7268366,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",1.895741054,Acer,19,36.01908002,live,W
FAGR,2593,UMBS,9.2,L,UN,7/12/2018,,A04W,A,A04,45.5637571,-84.7265507,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.868198869,Fagus,35,30.38696043,live,W
ACSA,2620,UMBS,9.2,L,UN,7/12/2018,,A04W,A,A04,45.5635556,-84.7265687,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",1.591556613,Acer,19,30.23957564,live,W
ACSA,2608,UMBS,9.1,D,UN,7/12/2018,2606 - 2608 share base,A04W,A,A04,45.5636799,-84.7265127,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",1.562344792,Acer,19,29.68455105,live,W
FAGR,2668,UMBS,9,L,UN,7/12/2018,,A04W,A,A04,45.5637397,-84.7267441,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.837640147,Fagus,35,29.31740513,live,W
ACSA,2621,UMBS,8.7,L,UN,7/12/2018,,A04W,A,A04,45.5636018,-84.726614,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",1.447727611,Acer,19,27.5068246,live,W
ACSA,2658,UMBS,8.6,L,UN,7/12/2018,,A04W,A,A04,45.5637605,-84.7268773,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",1.419634676,Acer,19,26.97305885,live,W
FAGR,2597,UMBS,8.2,L,UN,7/12/2018,,A04W,A,A04,45.5637389,-84.7265288,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.719691949,Fagus,35,25.18921823,live,W
ACSA,2606,UMBS,8.1,D,UN,7/12/2018,2606 - 2608 share base,A04W,A,A04,45.5636842,-84.7265147,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",1.282578132,Acer,19,24.36898452,live,W
ACSA,2604,UMBS,8,D,UN,7/12/2018,2603 - 2604 share base,A04W,A,A04,45.5637012,-84.7265294,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",1.255854286,Acer,19,23.86123143,live,W
TSCA,1703,UMBS,8,L,UN,7/4/2018,,B01E,B,B01,45.5566028,-84.7266353,FL,0.0454,1.6829,0.28,New Brunswick,ker 1980a,1.502678221,Tsuga,5.84,8.775640809,live,E
ACRU,1720,UMBS,8.4,L,OS,7/4/2018,,B01E,B,B01,45.5567189,-84.7267059,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",0.988778313,Acer,19,18.78678794,live,E
FAGR,1686,UMBS,8.5,L,UN,7/4/2018,,B01E,B,B01,45.5566548,-84.7264823,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.763110792,Fagus,35,26.70887773,live,E
ACRU,1733,UMBS,8.7,L,OS,7/4/2018,,B01E,B,B01,45.5567651,-84.7267187,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.043682691,Acer,19,19.82997112,live,E
QURU,1654,UMBS,8.7,L,OS,7/4/2018,,B01E,B,B01,45.5567134,-84.7265552,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.117485123,Quercus,14.2,15.86828874,live,E
QURU,1656,UMBS,8.9,L,OS,7/4/2018,,B01E,B,B01,45.5567932,-84.7265008,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.155057746,Quercus,14.2,16.40182,live,E
ACRU,1717,UMBS,9.1,L,OS,7/4/2018,,B01E,B,B01,45.5567012,-84.7266887,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.118491211,Acer,19,21.25133302,live,E
FAGR,1657,UMBS,9.6,L,UN,7/4/2018,reading taken above DBH,B01E,B,B01,45.5568202,-84.7265091,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.930577853,Fagus,35,32.57022484,live,E
ACRU,1670,UMBS,9.7,L,OS,7/4/2018,1670-1672 share base,B01E,B,B01,45.5567044,-84.7263994,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.234062918,Acer,19,23.44719545,live,E
ACRU,1725,UMBS,9.8,L,OS,7/4/2018,1722-1725 share base,B01E,B,B01,45.5567463,-84.7267133,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.253709707,Acer,19,23.82048443,live,E
ACRU,1677,UMBS,10.3,L,OS,7/4/2018,1677-1679 share base,B01E,B,B01,45.5566516,-84.7264584,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.353562014,Acer,19,25.71767826,live,E
ACRU,1724,UMBS,10.5,L,OS,7/4/2018,1722-1725 share base,B01E,B,B01,45.5567416,-84.7267209,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.394249034,Acer,19,26.49073165,live,E
POGR,1714,UMBS,10.7,L,OS,7/4/2018,,B01E,B,B01,45.5567048,-84.7267169,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",0.593214637,Populus,15.89,9.426180584,live,E
ACRU,1706,UMBS,10.9,L,OS,7/4/2018,1706-1708 share base,B01E,B,B01,45.5566795,-84.7268,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.47688146,Acer,19,28.06074774,live,E
