"","subplot_id","replicate","plot","subplot","date","tag","species","dbh_cm","health_status","canopy_status","notes"
"65","A01E","A",1,"E",2018-07-12,2836,"ACPE",1.4,"L","SA","in SW veg plot"
"66","A01E","A",1,"E",2018-07-12,2837,"ACPE",2.6,"L","SA","in SW veg plot"
"67","A01E","A",1,"E",2018-07-12,2838,"ACPE",3.2,"L","SA","in SW veg plot"
"68","A01E","A",1,"E",2018-07-12,2839,"ACPE",1.1,"L","SA","in SW veg plot"
"69","A01E","A",1,"E",2018-07-12,2840,"POGR",35.1,"L","OD",""
"70","A01E","A",1,"E",2018-07-12,2841,"ACSA",10.9,"L","OS","2841 - 2842 share base, taken a little above DBH"
"71","A01E","A",1,"E",2018-07-12,2842,"ACSA",14,"L","OS","2841 - 2842 share base"
"72","A01E","A",1,"E",2018-07-12,2843,"BEPA",18.4,"D","UN",""
"73","A01E","A",1,"E",2018-07-12,2844,"ACSA",11.9,"L","OS","Shares base with smaller tree"
"74","A01E","A",1,"E",2018-07-12,2845,"POGR",33.9,"L","OD",""
"75","A01E","A",1,"E",2018-07-12,2846,"POGR",36.5,"L","OD",""
"76","A01E","A",1,"E",2018-07-12,2847,"FAGR",11.2,"D","UN",""
"77","A01E","A",1,"E",2018-07-12,2848,"ACSA",25,"L","OS","2848 - 2849 share base"
"78","A01E","A",1,"E",2018-07-12,2849,"ACSA",25,"L","OS","2848 - 2849 share base"
"79","A01E","A",1,"E",2018-07-12,2850,"ACSA",12,"L","OS",""
"80","A01E","A",1,"E",2018-07-12,2851,"FAGR",10.9,"L","OS","Shares base with smaller tree"
"81","A01E","A",1,"E",2018-07-12,2852,"FAGR",11.8,"L","OS",""
"82","A01E","A",1,"E",2018-07-12,2853,"POGR",33,"L","OD",""
"83","A01E","A",1,"E",2018-07-12,2854,"FAGR",10.4,"L","UN","2854 - 2855 share base"
"84","A01E","A",1,"E",2018-07-12,2855,"FAGR",20.8,"L","OS","2854 - 2855 share base"
"85","A01E","A",1,"E",2018-07-12,2856,"POGR",31.2,"L","OD",""
"86","A01E","A",1,"E",2018-07-12,2857,"POGR",30.3,"L","OD",""
"87","A01E","A",1,"E",2018-07-12,2858,"FAGR",10.1,"L","OS",""
"88","A01E","A",1,"E",2018-07-12,2859,"FAGR",14.8,"L","OS","2859 - 2861 share base"
"89","A01E","A",1,"E",2018-07-12,2860,"FAGR",10.2,"L","UN","2859 - 2861 share base"
"90","A01E","A",1,"E",2018-07-12,2861,"FAGR",15.6,"L","OS","2859 - 2861 share base"
"91","A01E","A",1,"E",2018-07-12,2862,"FAGR",25.2,"L","OD",""
"92","A01E","A",1,"E",2018-07-12,2863,"POGR",56.1,"L","OD",""
"93","A01E","A",1,"E",2018-07-12,2864,"FAGR",10.5,"L","UN",""
"94","A01E","A",1,"E",2018-07-12,2865,"POGR",31.2,"L","OD",""
"95","A01E","A",1,"E",2018-07-12,2866,"FAGR",14.2,"L","OS",""
"96","A01E","A",1,"E",2018-07-12,2867,"POGR",32.1,"L","OD",""
"97","A01E","A",1,"E",2018-07-12,2868,"ACRU",8.4,"M","UN",""
"98","A01E","A",1,"E",2018-07-12,2869,"ACSA",19.8,"L","OS",""
"99","A01E","A",1,"E",2018-07-12,2870,"POGR",31.3,"L","OD",""
"100","A01E","A",1,"E",2018-07-13,2871,"FAGR",18.5,"D","UN",""
"101","A01E","A",1,"E",2018-07-14,2872,"POGR",50.5,"L","OD",""
"102","A01E","A",1,"E",2018-07-15,2873,"ACSA",15.6,"L","OD","2873 - 2874 share base"
"103","A01E","A",1,"E",2018-07-16,2874,"ACSA",21,"L","OD","2874 - 2874 share base"
"104","A01E","A",1,"E",2018-07-17,2875,"ACSA",9.6,"D","UN",""
"105","A01W","A",1,"W",2018-07-13,2876,"FAGR",24.9,"L","OS","2876-2877 share base"
"106","A01W","A",1,"W",2018-07-13,2877,"FAGR",13.4,"L","UN","2876-2877 share base"
"107","A01W","A",1,"W",2018-07-13,2878,"POGR",39,"L","OD",""
"108","A01W","A",1,"W",2018-07-13,2879,"POGR",37.2,"L","OD",""
"109","A01W","A",1,"W",2018-07-13,2880,"FAGR",1.7,"L","SA","NE veg plot"
"110","A01W","A",1,"W",2018-07-13,2881,"FAGR",1.3,"L","SA","2881-2882 share base, NE veg plot"
"111","A01W","A",1,"W",2018-07-13,2882,"FAGR",1.4,"L","SA","2881-2882 share base, NE veg plot"
"112","A01W","A",1,"W",2018-07-13,2883,"FAGR",1,"L","SA","NE veg plot"
"113","A01W","A",1,"W",2018-07-13,2884,"ACPE",1,"L","SA","NE veg plot"
"114","A01W","A",1,"W",2018-07-13,2885,"POGR",37.4,"L","OD","read as outside plot at 18.41 m"
"115","A01W","A",1,"W",2018-07-13,2886,"FAGR",40.6,"L","OS",""
"116","A01W","A",1,"W",2018-07-13,2887,"FAGR",9.1,"L","UN",""
"117","A01W","A",1,"W",2018-07-13,2888,"ACSA",35,"L","OD",""
"118","A01W","A",1,"W",2018-07-13,2889,"ACRU",21.2,"L","OS","2889-2890 share base"
"119","A01W","A",1,"W",2018-07-13,2890,"ACRU",43.8,"L","OD","2889-2890 share base"
"120","A01W","A",1,"W",2018-07-13,2891,"FAGR",8,"L","UN","2891-2892 share base"
"121","A01W","A",1,"W",2018-07-13,2892,"FAGR",9.4,"D","UN","2891-2892 share base"
"122","A01W","A",1,"W",2018-07-13,2893,"ACRU",12.8,"L","UN","2893-2894 share base, 2893 read as outside plot at 18.13 m"
"123","A01W","A",1,"W",2018-07-13,2894,"ACRU",35.2,"L","OS","2893-2894 share base"
"124","A01W","A",1,"W",2018-07-13,2895,"ACSA",9.4,"D","OS",""
"125","A01W","A",1,"W",2018-07-13,2896,"ACSA",8,"L","UN",""
"126","A01W","A",1,"W",2018-07-13,2897,"FAGR",18.9,"L","OS",""
"127","A01W","A",1,"W",2018-07-13,2898,"POGR",30.5,"L","OD",""
"128","A01W","A",1,"W",2018-07-13,2899,"FAGR",8.8,"L","UN","reading taken below DBH"
"129","A01W","A",1,"W",2018-07-13,2900,"????",13.5,"D","OS",""
"130","A01W","A",1,"W",2018-07-13,2901,"ACRU",25.6,"L","OS","2901-2902 share base"
"131","A01W","A",1,"W",2018-07-13,2902,"ACRU",19.3,"L","OS","2901-2902 share base"
"132","A01W","A",1,"W",2018-07-13,2903,"POGR",46.3,"L","OD",""
"133","A01W","A",1,"W",2018-07-13,2904,"POGR",45.8,"L","OD",""
"134","A01W","A",1,"W",2018-07-13,2905,"FAGR",16,"L","OS",""
"135","A01W","A",1,"W",2018-07-13,2906,"FAGR",1,"L","SA","SE veg plot"
"136","A01W","A",1,"W",2018-07-13,2907,"FAGR",1.6,"L","UN","SE veg plot"
"137","A01W","A",1,"W",2018-07-13,2908,"POGR",28.7,"D","UN",""
"138","A01W","A",1,"W",2018-07-13,2909,"ACSA",10,"L","UN",""
"139","A01W","A",1,"W",2018-07-13,2910,"POGR",40,"L","OD",""
"140","A01W","A",1,"W",2018-07-13,2911,"POGR",36.8,"L","OD",""
"141","A01W","A",1,"W",2018-07-13,2912,"POGR",37,"L","OD","read as outside plot at 18.33 m as tripod is not directly at center"
"142","A01W","A",1,"W",2018-07-13,2913,"ACRU",22.5,"L","OS",""
"143","A01W","A",1,"W",2018-07-13,2914,"ACSA",24.4,"L","OS",""
"144","A01W","A",1,"W",2018-07-13,2915,"ACSA",11.7,"L","UN",""
"145","A01W","A",1,"W",2018-07-13,2916,"ACSA",14.1,"L","OS",""
"146","A01W","A",1,"W",2018-07-13,2917,"ACSA",13.9,"L","UN",""
"147","A01W","A",1,"W",2018-07-13,2918,"POGR",30.9,"L","OD",""
"148","A01W","A",1,"W",2018-07-13,2919,"ACRU",25.9,"L","OD",""
"149","A01W","A",1,"W",2018-07-13,2920,"POGR",30.3,"L","OD",""
"150","A01W","A",1,"W",2018-07-13,2921,"ACSA",10.7,"L","UN",""
"151","A01W","A",1,"W",2018-07-13,2922,"POGR",26,"L","OD",""
"152","A01W","A",1,"W",2018-07-13,2923,"POGR",27.6,"L","OD","read as outside plot at 18.86 m as tripod is not at exact center"
"153","A01W","A",1,"W",2018-07-13,2924,"ACSA",17,"L","UN","2924-2926 share base"
"154","A01W","A",1,"W",2018-07-13,2925,"ACSA",25,"L","OS","2924-2926 share base"
"155","A01W","A",1,"W",2018-07-13,2926,"ACSA",22.1,"L","OS","2924-2926 share base"
"156","A01W","A",1,"W",2018-07-13,2927,"ACSA",8.1,"D","UN","2927-2929 share base"
"157","A01W","A",1,"W",2018-07-13,2928,"ACSA",14.3,"L","OS","2927-2929 share base"
"158","A01W","A",1,"W",2018-07-13,2929,"ACSA",15.4,"L","OS","2927-2929 share base"
"159","A01W","A",1,"W",2018-07-13,2930,"POGR",31.7,"L","OD",""
"160","A01W","A",1,"W",2018-07-13,2931,"POGR",32.2,"L","OD",""
"161","A01W","A",1,"W",2018-07-13,2932,"ACSA",13.8,"L","UN","SW veg plot, 2932-2933 share base"
"162","A01W","A",1,"W",2018-07-13,2933,"ACSA",6.8,"D","UN","SW veg plot, 2932-2933 share base"
"163","A01W","A",1,"W",2018-07-13,2934,"FAGR",4.1,"L","UN","SW veg plot"
"164","A01W","A",1,"W",2018-07-13,2935,"POGR",34,"L","OD",""
"165","A01W","A",1,"W",2018-07-13,2936,"ACSA",6.3,"D","UN","SW veg plot"
"166","A01W","A",1,"W",2018-07-13,2937,"ACRU",7.4,"D","UN","SW veg plot"
"167","A01W","A",1,"W",2018-07-13,2938,"POGR",31.6,"L","OD","SW veg plot"
"168","A01W","A",1,"W",2018-07-13,2939,"POGR",31.8,"L","OD",""
"169","A01W","A",1,"W",2018-07-13,2940,"FAGR",16.9,"L","OS",""
"170","A01W","A",1,"W",2018-07-13,2941,"POGR",25.5,"D","UN",""
"171","A01W","A",1,"W",2018-07-13,2942,"FAGR",22.4,"L","OS",""
"172","A01W","A",1,"W",2018-07-13,2943,"POGR",39.8,"L","OD",""
"173","A01W","A",1,"W",2018-07-13,2944,"POGR",36.9,"L","OD",""
"174","A01W","A",1,"W",2018-07-13,2945,"POGR",39.6,"D","OD",""
"175","A01W","A",1,"W",2018-07-13,2946,"POGR",27.3,"L","OD",""
"176","A01W","A",1,"W",2018-07-13,2947,"POGR",37.3,"L","OD",""
"177","A01W","A",1,"W",2018-07-13,2948,"POGR",34,"L","OD",""
"178","A01W","A",1,"W",2018-07-13,2949,"ACRU",13.3,"L","UN",""
"179","A01W","A",1,"W",2018-07-13,2950,"POGR",40.6,"L","OD",""
"180","A01W","A",1,"W",2018-07-13,2951,"POGR",33.9,"L","OD",""
"181","A01W","A",1,"W",2018-07-13,2952,"FAGR",6.9,"L","UN","REDACT, under minimum DBH"
"182","A01W","A",1,"W",2018-07-13,2953,"FAGR",12.7,"L","UN",""
"183","A01W","A",1,"W",2018-07-13,2954,"FAGR",9.1,"L","UN","2954-2956 share base"
"184","A01W","A",1,"W",2018-07-13,2955,"FAGR",10.6,"L","UN","2954-2956 share base"
"185","A01W","A",1,"W",2018-07-13,2956,"FAGR",6.7,"L","UN","REDACT, under minimum DBH, 2954-2956 share base"
"186","A01W","A",1,"W",2018-07-13,2957,"POGR",31.2,"L","OD",""
"187","A01W","A",1,"W",2018-07-13,2958,"FAGR",16.4,"L","UN","2958-2962 share base"
"188","A01W","A",1,"W",2018-07-13,2959,"FAGR",9.9,"L","UN","2958-2962 share base"
"189","A01W","A",1,"W",2018-07-13,2960,"FAGR",NA,"D","UN","REDACT, tree fell, 2958-2962 share base"
"190","A01W","A",1,"W",2018-07-13,2961,"FAGR",9.7,"D","UN","2958-2962 share base"
"191","A01W","A",1,"W",2018-07-13,2962,"FAGR",23.2,"D","UN","2958-2962 share base"
"192","A01W","A",1,"W",2018-07-13,2963,"FAGR",10.5,"L","UN","2963-2964 share base"
"193","A01W","A",1,"W",2018-07-13,2964,"FAGR",19.4,"L","UN","2963-2964 share base"
"194","A01W","A",1,"W",2018-07-13,2965,"POGR",35.9,"L","OD",""
"195","A01W","A",1,"W",2018-07-13,2966,"POGR",36.7,"L","OD",""
"196","A01W","A",1,"W",2018-07-13,2967,"POGR",38.6,"L","OD",""
"197","A01W","A",1,"W",2018-07-13,2968,"FAGR",14,"L","OS","2968-2970 share base"
"198","A01W","A",1,"W",2018-07-13,2969,"FAGR",18.6,"L","OS","2968-2970 share base"
"199","A01W","A",1,"W",2018-07-13,2970,"FAGR",11.6,"L","OS","2968-2970 share base"
"200","A01W","A",1,"W",2018-07-13,2971,"FAGR",11.3,"L","UN","2971-2973 share base"
"201","A01W","A",1,"W",2018-07-13,2972,"FAGR",13.2,"L","UN","2971-2973 share base"
"202","A01W","A",1,"W",2018-07-13,2973,"FAGR",8.3,"L","UN","2971-2973 share base"
"203","A01W","A",1,"W",2018-07-13,2974,"POGR",32.8,"L","OD",""
"204","A01W","A",1,"W",2018-07-13,2975,"POGR",24.1,"L","OD",""
"205","A01W","A",1,"W",2018-07-13,2976,"POGR",32.7,"L","OD",""
"206","A01W","A",1,"W",2018-07-13,2977,"POGR",25.8,"D","UN",""
"207","A01W","A",1,"W",2018-07-13,2978,"POGR",42.7,"L","OD",""
"208","A01W","A",1,"W",2018-07-13,2979,"FAGR",13.4,"L","UN","2979-2980 share base"
"209","A01W","A",1,"W",2018-07-13,2980,"FAGR",10.9,"L","UN","2979-2980 share base"
"210","A01W","A",1,"W",2018-07-13,2981,"ACRU",18.3,"L","OS","2981-2984 share base"
"211","A01W","A",1,"W",2018-07-13,2982,"ACRU",27.6,"L","OS","2981-2984 share base, 2982 reading taken above DBH"
"212","A01W","A",1,"W",2018-07-13,2983,"ACRU",28.9,"L","OS","2981-2984 share base, 2983 reading taken above DBH"
"213","A01W","A",1,"W",2018-07-13,2984,"ACRU",30.5,"L","OS","2981-2984 share base"
"214","A02E","A",2,"E",2018-07-13,3082,"FAGR",10.5,"M","UN","3082-3082 share base"
"215","A02E","A",2,"E",2018-07-13,3083,"FAGR",9.6,"L","UN","3082-3082 share base"
"216","A02E","A",2,"E",2018-07-13,3084,"ACSA",20.8,"L","OS",""
"217","A02E","A",2,"E",2018-07-13,3085,"POGR",41.6,"L","OD",""
"218","A02E","A",2,"E",2018-07-13,3086,"FAGR",9.8,"L","UN",""
"219","A02E","A",2,"E",2018-07-13,3087,"POGR",39.8,"L","OD",""
"220","A02E","A",2,"E",2018-07-13,3088,"FAGR",12.4,"L","UN",""
"221","A02E","A",2,"E",2018-07-13,3089,"FAGR",1,"L","SA","NE veg plot"
"222","A02E","A",2,"E",2018-07-13,3090,"FAGR",1.8,"L","UN","NE veg plot"
"223","A02E","A",2,"E",2018-07-13,3091,"FAGR",2,"L","UN","NE veg plot"
"224","A02E","A",2,"E",2018-07-13,3092,"ACPE",3.2,"L","UN","NE veg plot"
"225","A02E","A",2,"E",2018-07-13,3093,"POGR",30.3,"D","UN",""
"226","A02E","A",2,"E",2018-07-13,3094,"ACSA",7.3,"D","UN","REDACT, under minimum DBH, 3094-3095 share base"
"227","A02E","A",2,"E",2018-07-13,3095,"ACSA",20.7,"L","OS","3094-3095 share base"
"228","A02E","A",2,"E",2018-07-13,3096,"ACSA",34.6,"L","OS","in new plot 124"
"229","A02E","A",2,"E",2018-07-13,3097,"POGR",36.2,"L","OD",""
"230","A02E","A",2,"E",2018-07-13,3098,"FAGR",15.6,"L","UN",""
"231","A02E","A",2,"E",2018-07-13,3099,"ACSA",23.8,"L","OS","3099-3100 share base"
"232","A02E","A",2,"E",2018-07-13,3100,"ACSA",8.2,"D","UN","3099-3100 share base"
"233","A02E","A",2,"E",2018-07-13,3101,"ACSA",15,"D","OS",""
"234","A02E","A",2,"E",2018-07-13,3102,"ACSA",16.6,"L","OS","3102-3103 share base"
"235","A02E","A",2,"E",2018-07-13,3103,"ACSA",27.4,"L","OS","3102-3103 share base"
"236","A02E","A",2,"E",2018-07-13,3104,"ACSA",29.7,"L","OS","3104-3105 share base"
"237","A02E","A",2,"E",2018-07-13,3105,"ACSA",20.2,"L","OS","3104-3105 share base"
"238","A02E","A",2,"E",2018-07-13,3106,"FAGR",10.5,"D","UN","3106-3107 share base"
"239","A02E","A",2,"E",2018-07-13,3107,"FAGR",30.5,"D","OS","3106-3107 share base"
"240","A02E","A",2,"E",2018-07-13,3108,"ACRU",24.3,"L","OS","3108-3109 share base"
"241","A02E","A",2,"E",2018-07-13,3109,"ACRU",24,"L","OS","3108-3109 share base, 3109 in new plot 124"
"242","A02E","A",2,"E",2018-07-13,3110,"ACSA",11,"L","OS","read as outside plot at 18.01 m"
"243","A02E","A",2,"E",2018-07-13,3111,"FAGR",10.5,"L","UN",""
"244","A02E","A",2,"E",2018-07-13,3112,"ACRU",32.2,"L","OD","in new plot 124"
"245","A02E","A",2,"E",2018-07-13,3113,"ACSA",15.2,"L","OS",""
"246","A02E","A",2,"E",2018-07-13,3114,"FAGR",11.4,"L","UN",""
"247","A02E","A",2,"E",2018-07-13,3115,"POGR",38.3,"D","OD",""
"248","A02E","A",2,"E",2018-07-13,3116,"POGR",53.8,"L","OD","reading taken below DBH"
"249","A02E","A",2,"E",2018-07-13,3117,"ACSA",10.7,"L","UN","3117-3118 share base"
"250","A02E","A",2,"E",2018-07-13,3118,"ACSA",13.6,"L","OS","3117-3118 share base"
"251","A02E","A",2,"E",2018-07-13,3119,"ACSA",22,"L","OS","reading taken above DBH"
"252","A02E","A",2,"E",2018-07-13,3120,"ACSA",19.4,"L","OS",""
"253","A02E","A",2,"E",2018-07-13,3121,"FAGR",7.8,"L","UN","REDACT, under minimum DBH"
"254","A02E","A",2,"E",2018-07-13,3122,"FAGR",14.3,"L","UN",""
"255","A02E","A",2,"E",2018-07-13,3123,"POGR",28.8,"D","UN",""
"256","A02E","A",2,"E",2018-07-13,3124,"POGR",33.6,"D","UN","in new plot"
"257","A02E","A",2,"E",2018-07-13,3125,"POGR",44.2,"L","OD",""
"258","A02E","A",2,"E",2018-07-13,3126,"ACSA",20.8,"L","OS",""
"259","A02E","A",2,"E",2018-07-13,3127,"POGR",47.1,"L","OD","3127-3128 share base"
"260","A02E","A",2,"E",2018-07-13,3128,"POGR",40.1,"L","OD","3127-3128 share base"
"261","A02E","A",2,"E",2018-07-13,3129,"POGR",33.9,"L","OD",""
"262","A02E","A",2,"E",2018-07-13,3130,"FAGR",12.3,"L","OS","read as outside plot at 18.23 m"
"263","A02E","A",2,"E",2018-07-13,3131,"POGR",50.6,"L","OD",""
"264","A02E","A",2,"E",2018-07-13,3132,"FAGR",10.3,"L","UN",""
"265","A02E","A",2,"E",2018-07-13,3133,"POGR",19.7,"D","UN",""
"266","A02E","A",2,"E",2018-07-13,3134,"FAGR",13.3,"L","UN","3134 + 3136-3137 share base"
"267","A02E","A",2,"E",2018-07-13,3135,"????",27.6,"D","UN",""
"268","A02E","A",2,"E",2018-07-13,3136,"FAGR",20.5,"L","OS","3134 + 3136-3137 share base"
"269","A02E","A",2,"E",2018-07-13,3137,"FAGR",17.2,"L","OS","3135 + 3136-3137 share base, 3137 taken above DBH"
"270","A02E","A",2,"E",2018-07-13,3138,"FAGR",9.7,"L","UN",""
"271","A02E","A",2,"E",2018-07-13,3139,"ACRU",43.1,"L","OD",""
"272","A02E","A",2,"E",2018-07-13,3140,"ACSA",8.1,"L","UN",""
"273","A02E","A",2,"E",2018-07-13,3141,"ACSA",8.7,"L","UN","3141-3142 share base"
"274","A02E","A",2,"E",2018-07-13,3142,"ACSA",8.9,"L","UN","3141-3142 share base"
"275","A02E","A",2,"E",2018-07-13,3143,"FAGR",16.5,"L","OS",""
"276","A02E","A",2,"E",2018-07-13,3144,"ACSA",28.3,"L","OS","3144-3145 share base"
"277","A02E","A",2,"E",2018-07-13,3145,"ACSA",19.3,"L","OS","3144-3145 share base, 3145 reading taken above DBH"
"278","A02E","A",2,"E",2018-07-13,3146,"????",25.9,"D","UN",""
"279","A02E","A",2,"E",2018-07-13,3147,"FAGR",17.6,"L","OS","3147-3148 share base"
"280","A02E","A",2,"E",2018-07-13,3148,"FAGR",16.8,"L","OS","3147-3148 share base"
"281","A02E","A",2,"E",2018-07-13,3149,"ACSA",11.9,"L","OS",""
"282","A02E","A",2,"E",2018-07-13,3150,"ACSA",25.5,"L","OD",""
"283","A02E","A",2,"E",2018-07-13,3151,"FAGR",15.5,"L","UN",""
"284","A02E","A",2,"E",2018-07-13,3152,"POGR",50.4,"L","OD",""
"285","A02E","A",2,"E",2018-07-13,3153,"ACSA",13.2,"L","OS","3153-3156 share base"
"286","A02E","A",2,"E",2018-07-13,3154,"ACSA",9.1,"L","UN","3153-3156 share base"
"287","A02E","A",2,"E",2018-07-13,3155,"ACSA",19.6,"L","OS","3153-3156 share base"
"288","A02E","A",2,"E",2018-07-13,3156,"ACSA",8.4,"L","UN","3153-3156 share base"
"289","A02E","A",2,"E",2018-07-13,3157,"ACSA",9.3,"L","UN",""
"290","A02E","A",2,"E",2018-07-13,3158,"????",9.8,"D","UN",""
"291","A02E","A",2,"E",2018-07-13,3159,"ACSA",22.4,"L","OS","3159-3160 share base"
"292","A02E","A",2,"E",2018-07-13,3160,"ACSA",18.9,"L","OS","3159-3160 share base"
"293","A02E","A",2,"E",2018-07-13,3161,"????",7.6,"D","UN","REDACT, under minimum DBH"
"294","A02E","A",2,"E",2018-07-13,3162,"ACSA",19.5,"L","OS",""
"295","A02E","A",2,"E",2018-07-13,3163,"POGR",48.5,"L","OD",""
"296","A02E","A",2,"E",2018-07-13,3164,"ACSA",10.9,"L","UN",""
"297","A02E","A",2,"E",2018-07-13,3165,"ACPE",1.5,"L","SA","SW veg plot"
"298","A02W","A",2,"W",2018-07-13,2985,"POGR",25.5,"D","UN",""
"299","A02W","A",2,"W",2018-07-13,2986,"POGR",35.8,"L","OD",""
"300","A02W","A",2,"W",2018-07-13,2987,"POGR",27.7,"L","OD",""
"301","A02W","A",2,"W",2018-07-13,2988,"ACSA",10.4,"L","UN","2988-2989 share base"
