"","subplot_id","replicate","plot","subplot","year","species","bagtare_g","bagmass_g"
"251","C03E","C",3,"E",2018,"QURU",22.2,134
"252","C03E","C",3,"E",2018,"ACRU",22,68.3
"253","C03E","C",3,"E",2018,"FAGR",22.1,31.7
"254","C03E","C",3,"E",2018,"MISC",8.4,35.4
"255","C03E","C",3,"E",2018,"CWD",8.4,17
"256","C04W","C",4,"W",2018,"BEPA",8.4,10.5
"257","C04W","C",4,"W",2018,"QURU",22.1,107.7
"258","C04W","C",4,"W",2018,"QURU",22.2,122.5
"259","C04W","C",4,"W",2018,"FAGR",22.2,47.8
"260","C04W","C",4,"W",2018,"ACRU",22.2,58
"261","C04W","C",4,"W",2018,"POGR",8.4,8.8
"262","C04W","C",4,"W",2018,"PIST",8.4,9.4
"263","C04W","C",4,"W",2018,"MISC",8.4,11
"264","C04W","C",4,"W",2018,"CWD",8.5,44.8
"265","C04E","C",4,"E",2018,"ACPE",8.4,11.2
"266","C04E","C",4,"E",2018,"BEPA",8.3,9.7
"267","C04E","C",4,"E",2018,"ACRU",22.2,74.3
"268","C04E","C",4,"E",2018,"PIST",8.5,10
"269","C04E","C",4,"E",2018,"POGR",8.4,8.9
"270","C04E","C",4,"E",2018,"FAGR",22,36.6
"271","C04E","C",4,"E",2018,"QURU",22.1,138.3
"272","C04E","C",4,"E",2018,"QURU",22.3,43.3
"273","C04E","C",4,"E",2018,"MISC",8.4,14.1
"274","C04E","C",4,"E",2018,"CWD",8.4,18.5
"275","D01W","D",1,"W",2018,"POGR",15.4,19.8
"276","D01W","D",1,"W",2018,"QURU",22.2,117.9
"277","D01W","D",1,"W",2018,"QURU",22.2,107.3
"278","D01W","D",1,"W",2018,"ACRU",22.1,29.2
"279","D01W","D",1,"W",2018,"PIST",8.4,31.2
"280","D01W","D",1,"W",2018,"CWD",8.3,31.7
"281","D01W","D",1,"W",2018,"MISC",8.4,13.5
"282","D01E","D",1,"E",2018,"ACRU",15,27.1
"283","D01E","D",1,"E",2018,"PIST",8.4,15
"284","D01E","D",1,"E",2018,"POGR",15.4,23.8
"285","D01E","D",1,"E",2018,"FAGR",7,8.1
"286","D01E","D",1,"E",2018,"QURU",22.3,129.3
"287","D01E","D",1,"E",2018,"QURU",22,113.5
"288","D01E","D",1,"E",2018,"CWD",8.5,17.5
"289","D01E","D",1,"E",2018,"MISC",8.4,10
"290","D02W","D",2,"W",2018,"PIST",8.5,17.6
"291","D02W","D",2,"W",2018,"POGR",15.4,35.9
"292","D02W","D",2,"W",2018,"PIRE",8.5,8.6
"293","D02W","D",2,"W",2018,"FAGRE",8.5,14.2
"294","D02W","D",2,"W",2018,"ACRU",22.1,56
"295","D02W","D",2,"W",2018,"QURU",22.3,108.4
"296","D02W","D",2,"W",2018,"QURU",22.2,94.7
"297","D02W","D",2,"W",2018,"CWD",8.4,12.9
"298","D02W","D",2,"W",2018,"MISC",8.5,109.6
"299","D02E","D",2,"E",2018,"ACPE",6.9,8.5
"300","D02E","D",2,"E",2018,"POGR",15.2,32.7
"301","D02E","D",2,"E",2018,"PIST",8.5,19.5
"302","D02E","D",2,"E",2018,"ACRU",22.2,58.4
"303","D02E","D",2,"E",2018,"QURU",22.2,138.5
"304","D02E","D",2,"E",2018,"QURU",22.2,71.4
"305","D02E","D",2,"E",2018,"FAGR",8.4,13.1
"306","D02E","D",2,"E",2018,"MISC",7,8.8
"307","D02E","D",2,"E",2018,"CWD",8.5,19.7
"308","D03W","D",3,"W",2018,"ACRU",15.3,30.5
"309","D03W","D",3,"W",2018,"PIST",8.5,13.7
"310","D03W","D",3,"W",2018,"BEPA",6.8,7.1
"311","D03W","D",3,"W",2018,"QURU",22.2,137.1
"312","D03W","D",3,"W",2018,"FAGR",22.2,34.3
"313","D03W","D",3,"W",2018,"POGR",22.2,92.9
"314","D03W","D",3,"W",2018,"MISC",8.5,11.7
"315","D03W","D",3,"W",2018,"CWD",8.4,42.7
"316","D03E","D",3,"E",2018,"ACRU",15.4,34.3
"317","D03E","D",3,"E",2018,"PIRE",8.4,10.7
"318","D03E","D",3,"E",2018,"POGR",22.2,93.8
"319","D03E","D",3,"E",2018,"FAGR",22.3,31.6
"320","D03E","D",3,"E",2018,"QURU",22.2,128.1
"321","D03E","D",3,"E",2018,"QURU",8.4,17.2
"322","D03E","D",3,"E",2018,"MISC",8.4,10.3
"323","D03E","D",3,"E",2018,"CWD",8.4,23.2
"324","D04W","D",4,"W",2018,"PIST",8.3,14.6
"325","D04W","D",4,"W",2018,"PIST",8.4,21.9
"326","D04W","D",4,"W",2018,"QURU",15.2,16.8
"327","D04W","D",4,"W",2018,"PIRE",6.9,7.2
"328","D04W","D",4,"W",2018,"ACRU",22,67.8
"329","D04W","D",4,"W",2018,"POGR",22.2,84.5
"330","D04W","D",4,"W",2018,"MISC",6.9,11.1
"331","D04W","D",4,"W",2018,"CWD",8.4,20
"332","D04E","D",4,"E",2018,"ACRU",6.9,13.2
"333","D04E","D",4,"E",2018,"QURU",22.2,90.7
"334","D04E","D",4,"E",2018,"QURU",22.2,76.7
"335","D04E","D",4,"E",2018,"FAGR",15.3,16.6
"336","D04E","D",4,"E",2018,"POTR",8.5,10
"337","D04E","D",4,"E",2018,"PIST",8.4,46.8
"338","D04E","D",4,"E",2018,"POGR",15.2,30.9
"339","D04E","D",4,"E",2018,"MISC",8.5,12.3
"340","D04E","D",4,"E",2018,"CWD",8.4,42.3
